codigo,nombre,descripcion,cuenta,periodo,unidad,medida,Unidad,Medida,freq,familia,node,DESCRIPCION,codigo
89725,Bancos Públicos,Bancos Públicos,E07.07.13.01.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]'),89725
89726,2 años,2 años,E07.07.13.01.01.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]/2 años [89726]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]/2 años [89726]'),89726
89727,4 años,4 años,E07.07.13.01.02.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]/4 años [89727]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]/4 años [89727]'),89727
89728,Bancos Privados,Bancos Privados,E07.07.13.02.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Privados [89728]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Privados [89728]'),89728
89729,2 años,2 años,E07.07.13.02.01.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Privados [89728]/2 años [89729]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Privados [89728]/2 años [89729]'),89729
89730,4 años,4 años,E07.07.13.02.02.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Privados [89728]/4 años [89730]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Privados [89728]/4 años [89730]'),89730
89731,Coperativas,Coperativas,E07.07.13.03.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Coperativas [89731]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Coperativas [89731]'),89731
89732,2 años,2 años,E07.07.13.03.01.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Coperativas [89731]/2 años [89732]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Coperativas [89731]/2 años [89732]'),89732
89733,4 años,4 años,E07.07.13.03.02.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Coperativas [89731]/4 años [89733]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Coperativas [89731]/4 años [89733]'),89733
89734,Mutuales,Mutuales,E07.07.13.04.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Mutuales [89734]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Mutuales [89734]'),89734
89735,2 años,2 años,E07.07.13.04.01.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Mutuales [89734]/2 años [89735]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Mutuales [89734]/2 años [89735]'),89735
89736,4 años,4 años,E07.07.13.04.02.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Mutuales [89734]/4 años [89736]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Mutuales [89734]/4 años [89736]'),89736
89737,Financieras,Financieras,E07.07.13.05.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Financieras [89737]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Financieras [89737]'),89737
89738,2 años,2 años,E07.07.13.05.01.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Financieras [89737]/2 años [89738]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Financieras [89737]/2 años [89738]'),89738
89739,4 años,4 años,E07.07.13.05.02.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Financieras [89737]/4 años [89739]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Financieras [89737]/4 años [89739]'),89739
89740,2,2,E07.07.13.06.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/2 [89740]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/2 [89740]'),89740
89741,4,4,E07.07.13.07.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/4 [89741]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/4 [89741]'),89741
