code,status,name,periodicidad,n,bloque_sondeo
25587,http_400,NA,NA,0,EXPORTS
25588,http_429,NA,NA,0,EXPORTS
25589,http_400,NA,NA,0,EXPORTS
25590,http_400,NA,NA,0,EXPORTS
25591,http_429,NA,NA,0,EXPORTS
25592,http_400,NA,NA,0,EXPORTS
25593,http_429,NA,NA,0,EXPORTS
25594,http_429,NA,NA,0,EXPORTS
25595,http_400,NA,NA,0,EXPORTS
25596,http_429,NA,NA,0,EXPORTS
25597,http_429,NA,NA,0,EXPORTS
25598,http_400,NA,NA,0,EXPORTS
25599,http_429,NA,NA,0,EXPORTS
25600,http_400,NA,NA,0,EXPORTS
25601,http_400,NA,NA,0,EXPORTS
25602,http_400,NA,NA,0,EXPORTS
25603,http_429,NA,NA,0,EXPORTS
25604,http_400,NA,NA,0,EXPORTS
25605,http_429,NA,NA,0,EXPORTS
25606,http_400,NA,NA,0,EXPORTS
25607,http_429,NA,NA,0,EXPORTS
25608,http_400,NA,NA,0,EXPORTS
25609,network_error,NA,NA,0,EXPORTS
25610,http_400,NA,NA,0,EXPORTS
25611,http_400,NA,NA,0,EXPORTS
25612,http_400,NA,NA,0,EXPORTS
25613,http_400,NA,NA,0,EXPORTS
25614,http_400,NA,NA,0,EXPORTS
25615,http_400,NA,NA,0,EXPORTS
25616,http_400,NA,NA,0,EXPORTS
25617,http_400,NA,NA,0,EXPORTS
25618,http_400,NA,NA,0,EXPORTS
25619,http_400,NA,NA,0,EXPORTS
25620,http_400,NA,NA,0,EXPORTS
25621,http_400,NA,NA,0,EXPORTS
25622,http_400,NA,NA,0,EXPORTS
25623,http_400,NA,NA,0,EXPORTS
25624,http_400,NA,NA,0,EXPORTS
25625,http_400,NA,NA,0,EXPORTS
25626,http_400,NA,NA,0,EXPORTS
25627,http_400,NA,NA,0,EXPORTS
25628,http_400,NA,NA,0,EXPORTS
25629,http_400,NA,NA,0,EXPORTS
25630,http_400,NA,NA,0,EXPORTS
25631,http_400,NA,NA,0,EXPORTS
25632,http_400,NA,NA,0,EXPORTS
25633,http_400,NA,NA,0,EXPORTS
25645,no_data,NA,NA,0,EXPORTS
25646,http_400,NA,NA,0,EXPORTS
25647,http_400,NA,NA,0,EXPORTS
25648,http_400,NA,NA,0,EXPORTS
25664,http_400,NA,NA,0,EXPORTS
25665,http_400,NA,NA,0,EXPORTS
25666,http_400,NA,NA,0,EXPORTS
25667,http_400,NA,NA,0,EXPORTS
25668,http_400,NA,NA,0,EXPORTS
25669,http_400,NA,NA,0,EXPORTS
25670,http_429,NA,NA,0,EXPORTS
25671,http_429,NA,NA,0,EXPORTS
25672,http_429,NA,NA,0,EXPORTS
25673,http_429,NA,NA,0,EXPORTS
25674,http_429,NA,NA,0,EXPORTS
25675,http_429,NA,NA,0,EXPORTS
25676,http_429,NA,NA,0,EXPORTS
25677,http_429,NA,NA,0,EXPORTS
25678,http_429,NA,NA,0,EXPORTS
25679,http_429,NA,NA,0,EXPORTS
25680,http_429,NA,NA,0,EXPORTS
25681,http_429,NA,NA,0,EXPORTS
25682,http_429,NA,NA,0,EXPORTS
25683,http_429,NA,NA,0,EXPORTS
25684,http_429,NA,NA,0,EXPORTS
25685,http_429,NA,NA,0,EXPORTS
25686,http_429,NA,NA,0,EXPORTS
25687,http_429,NA,NA,0,EXPORTS
25688,http_400,NA,NA,0,EXPORTS
25689,http_429,NA,NA,0,EXPORTS
25690,http_400,NA,NA,0,EXPORTS
25691,http_400,NA,NA,0,EXPORTS
25692,http_400,NA,NA,0,EXPORTS
25693,http_429,NA,NA,0,EXPORTS
25694,http_400,NA,NA,0,EXPORTS
25695,http_400,NA,NA,0,EXPORTS
25696,http_400,NA,NA,0,EXPORTS
25697,http_400,NA,NA,0,EXPORTS
25698,http_429,NA,NA,0,EXPORTS
25699,http_429,NA,NA,0,EXPORTS
25700,http_429,NA,NA,0,EXPORTS
25701,http_400,NA,NA,0,EXPORTS
25702,http_400,NA,NA,0,EXPORTS
25703,http_400,NA,NA,0,EXPORTS
25704,http_429,NA,NA,0,EXPORTS
25705,http_400,NA,NA,0,EXPORTS
25706,http_400,NA,NA,0,EXPORTS
25707,http_400,NA,NA,0,EXPORTS
25708,http_400,NA,NA,0,EXPORTS
25709,http_429,NA,NA,0,EXPORTS
25710,http_400,NA,NA,0,EXPORTS
25711,http_400,NA,NA,0,EXPORTS
25712,http_400,NA,NA,0,EXPORTS
25713,http_400,NA,NA,0,EXPORTS
25714,http_400,NA,NA,0,EXPORTS
25715,http_400,NA,NA,0,EXPORTS
25716,http_429,NA,NA,0,EXPORTS
25717,http_400,NA,NA,0,EXPORTS
25718,http_400,NA,NA,0,EXPORTS
25719,http_400,NA,NA,0,EXPORTS
25720,http_400,NA,NA,0,EXPORTS
25721,http_400,NA,NA,0,EXPORTS
25722,http_400,NA,NA,0,EXPORTS
25723,http_400,NA,NA,0,EXPORTS
25724,http_429,NA,NA,0,EXPORTS
25725,http_429,NA,NA,0,EXPORTS
25726,http_429,NA,NA,0,EXPORTS
25727,no_data,NA,NA,0,EXPORTS
25728,no_data,NA,NA,0,EXPORTS
25729,no_data,NA,NA,0,EXPORTS
25730,no_data,NA,NA,0,EXPORTS
25731,http_429,NA,NA,0,EXPORTS
25732,no_data,NA,NA,0,EXPORTS
25733,no_data,NA,NA,0,EXPORTS
25734,http_429,NA,NA,0,EXPORTS
25735,no_data,NA,NA,0,EXPORTS
25736,no_data,NA,NA,0,EXPORTS
25737,network_error,NA,NA,0,EXPORTS
25738,no_data,NA,NA,0,EXPORTS
25739,http_400,NA,NA,0,EXPORTS
25740,http_400,NA,NA,0,EXPORTS
25741,http_400,NA,NA,0,EXPORTS
25742,http_400,NA,NA,0,EXPORTS
25743,http_400,NA,NA,0,EXPORTS
25744,http_400,NA,NA,0,EXPORTS
25745,http_400,NA,NA,0,EXPORTS
25746,http_400,NA,NA,0,EXPORTS
25747,http_400,NA,NA,0,EXPORTS
25748,http_400,NA,NA,0,EXPORTS
25749,http_400,NA,NA,0,EXPORTS
25750,http_400,NA,NA,0,EXPORTS
25751,http_400,NA,NA,0,EXPORTS
25752,http_400,NA,NA,0,EXPORTS
25753,http_400,NA,NA,0,EXPORTS
25754,http_400,NA,NA,0,EXPORTS
25755,http_400,NA,NA,0,EXPORTS
25756,http_400,NA,NA,0,EXPORTS
25757,http_400,NA,NA,0,EXPORTS
25758,http_400,NA,NA,0,EXPORTS
25759,http_400,NA,NA,0,EXPORTS
25760,http_400,NA,NA,0,EXPORTS
25761,http_400,NA,NA,0,EXPORTS
25762,http_400,NA,NA,0,EXPORTS
25763,http_400,NA,NA,0,EXPORTS
25764,http_400,NA,NA,0,EXPORTS
25765,http_400,NA,NA,0,EXPORTS
25766,http_400,NA,NA,0,EXPORTS
25767,http_400,NA,NA,0,EXPORTS
25768,http_400,NA,NA,0,EXPORTS
25769,http_400,NA,NA,0,EXPORTS
25770,http_400,NA,NA,0,EXPORTS
25771,http_400,NA,NA,0,EXPORTS
25772,http_400,NA,NA,0,EXPORTS
25773,http_400,NA,NA,0,EXPORTS
25774,http_400,NA,NA,0,EXPORTS
25775,http_400,NA,NA,0,EXPORTS
25776,http_400,NA,NA,0,EXPORTS
25777,http_400,NA,NA,0,EXPORTS
25778,http_400,NA,NA,0,EXPORTS
25779,http_400,NA,NA,0,EXPORTS
25780,http_400,NA,NA,0,EXPORTS
25781,http_400,NA,NA,0,EXPORTS
25782,http_400,NA,NA,0,EXPORTS
25783,http_400,NA,NA,0,EXPORTS
25784,http_400,NA,NA,0,EXPORTS
25785,http_400,NA,NA,0,EXPORTS
25786,http_400,NA,NA,0,EXPORTS
25787,http_400,NA,NA,0,EXPORTS
25788,http_429,NA,NA,0,EXPORTS
25789,http_429,NA,NA,0,EXPORTS
25790,http_400,NA,NA,0,EXPORTS
25791,http_429,NA,NA,0,EXPORTS
25792,http_400,NA,NA,0,EXPORTS
25793,http_429,NA,NA,0,EXPORTS
25794,http_429,NA,NA,0,EXPORTS
25795,http_429,NA,NA,0,EXPORTS
25796,http_429,NA,NA,0,EXPORTS
25797,http_429,NA,NA,0,EXPORTS
25798,http_400,NA,NA,0,EXPORTS
25799,http_400,NA,NA,0,EXPORTS
25800,http_429,NA,NA,0,EXPORTS
25801,http_400,NA,NA,0,EXPORTS
25802,http_429,NA,NA,0,EXPORTS
25803,http_400,NA,NA,0,EXPORTS
25804,http_429,NA,NA,0,EXPORTS
25805,http_400,NA,NA,0,EXPORTS
25806,http_429,NA,NA,0,EXPORTS
25807,http_429,NA,NA,0,EXPORTS
25808,http_400,NA,NA,0,EXPORTS
25809,http_429,NA,NA,0,EXPORTS
25810,http_429,NA,NA,0,EXPORTS
25811,http_400,NA,NA,0,EXPORTS
25812,http_429,NA,NA,0,EXPORTS
25813,http_429,NA,NA,0,EXPORTS
25814,http_429,NA,NA,0,EXPORTS
25815,http_429,NA,NA,0,EXPORTS
25816,http_429,NA,NA,0,EXPORTS
25817,http_400,NA,NA,0,EXPORTS
25818,http_429,NA,NA,0,EXPORTS
25819,http_429,NA,NA,0,EXPORTS
25820,http_429,NA,NA,0,EXPORTS
25821,http_429,NA,NA,0,EXPORTS
25822,http_429,NA,NA,0,EXPORTS
25823,http_429,NA,NA,0,EXPORTS
25824,http_429,NA,NA,0,EXPORTS
25825,http_429,NA,NA,0,EXPORTS
25826,http_429,NA,NA,0,EXPORTS
25827,http_429,NA,NA,0,EXPORTS
25828,http_429,NA,NA,0,EXPORTS
25829,http_429,NA,NA,0,EXPORTS
25830,http_429,NA,NA,0,EXPORTS
25831,http_429,NA,NA,0,EXPORTS
25832,http_429,NA,NA,0,EXPORTS
25833,http_429,NA,NA,0,EXPORTS
25834,http_429,NA,NA,0,EXPORTS
25835,http_429,NA,NA,0,EXPORTS
25836,http_429,NA,NA,0,EXPORTS
25837,http_429,NA,NA,0,EXPORTS
25838,http_429,NA,NA,0,EXPORTS
25839,http_429,NA,NA,0,EXPORTS
25840,http_429,NA,NA,0,EXPORTS
25841,http_429,NA,NA,0,EXPORTS
