code,status,name,periodicidad,n,bloque_sondeo
95210,http_400,NA,NA,0,IMAE-CIIU
95211,http_400,NA,NA,0,IMAE-CIIU
95212,http_400,NA,NA,0,IMAE-CIIU
95213,http_400,NA,NA,0,IMAE-CIIU
95214,http_400,NA,NA,0,IMAE-CIIU
95215,http_400,NA,NA,0,IMAE-CIIU
95216,http_400,NA,NA,0,IMAE-CIIU
95217,http_400,NA,NA,0,IMAE-CIIU
95218,ok,Minas y canteras (B) Variación interanual,NA,3,IMAE-CIIU
95219,ok,Manufactura (C). Variación interanual,NA,3,IMAE-CIIU
95220,http_400,NA,NA,0,IMAE-CIIU
95221,ok,Régimen definitivo. Variación interanual,NA,3,IMAE-CIIU
95222,ok,Productos alimenticios diversos. Variación interanual,NA,3,IMAE-CIIU
95223,ok,"Textil, prendas vestir, industr cuero. Variación interanual",NA,3,IMAE-CIIU
95224,ok,"Papel, sus produc, imprent, editorial. Variación interanual",NA,3,IMAE-CIIU
95225,ok,Sustan quím y prod quím deriv petróleo. Variación interanual,NA,3,IMAE-CIIU
95226,ok,"Fabric prod metálicos, maquin y equipo. Variación interanual",NA,3,IMAE-CIIU
95227,ok,Otras industrias manufactureras. Variación interanual,NA,3,IMAE-CIIU
95228,ok,Regímenes especiales. Variación interanual,NA,3,IMAE-CIIU
95229,ok,Productos alimenticios diversos. Variación interanual,NA,3,IMAE-CIIU
95230,ok,"Textil, prendas vestir, industr cuero. Variación interanual",NA,3,IMAE-CIIU
95231,ok,"Papel, sus produc, imprent, editorial. Variación interanual",NA,3,IMAE-CIIU
95232,ok,"Sustancias quím, prod quím de petróleo. Variación interanual",NA,3,IMAE-CIIU
95233,ok,"Fabric prod metálicos, maquin y equipo. Variación interanual",NA,3,IMAE-CIIU
95234,ok,Instrum y suministros médic y dentales. Variación interanual,NA,3,IMAE-CIIU
95235,ok,Otras industrias manufactureras. Variación interanual,NA,3,IMAE-CIIU
95236,ok,"Electricid, agua, serv saneamien (D,E). Variación interanual",NA,3,IMAE-CIIU
95237,ok,Construcción (F). Variación interanual,NA,3,IMAE-CIIU
95238,ok,Pública. Variación interanual,NA,3,IMAE-CIIU
95239,ok,Privada. Variación interanual,NA,3,IMAE-CIIU
95240,ok,"Comerc por mayor y menor, rep vehí (G). Variación interanual",NA,3,IMAE-CIIU
95241,ok,Índice mensual de actividad comercial. Variación interanual,NA,3,IMAE-CIIU
95242,ok,"Alimentos, bebidas y tabaco. Variación interanual",NA,3,IMAE-CIIU
95243,ok,Productos químicos y farmacéuticos. Variación interanual,NA,3,IMAE-CIIU
95244,ok,Materiales de Construcción (F). Variación interanual,NA,3,IMAE-CIIU
95245,ok,Vehículos. Variación interanual,NA,3,IMAE-CIIU
95246,http_400,NA,NA,0,IMAE-CIIU
95247,ok,Resto de actividades comerciales. Variación interanual,NA,3,IMAE-CIIU
95248,ok,Aparatos eléctricos y del hogar. Variación interanual,NA,3,IMAE-CIIU
95249,ok,Transporte y almacenamiento (H). Variación interanual,NA,3,IMAE-CIIU
95250,ok,Activ alojamiento y serv de comida (I). Variación Interanual,NA,3,IMAE-CIIU
